r,ctw,hp,wf
0,0.726,0.943,0.216
300,0.658,0.805,0.285
600,0.740,0.934,0.410
900,0.809,0.947,0.695
1200,0.856,0.969,0.860
1500,0.856,0.971,0.864
1800,0.849,0.970,0.861
2100,0.838,0.971,0.859
2400,0.861,0.971,0.860
2700,0.837,0.968,0.859
3000,0.856,0.970,0.861
