r,ctw,hp,wf
0,0.72,0.89,0.22
300,0.64,0.79,0.28
600,0.75,0.91,0.41
900,0.83,0.95,0.71
1200,0.86,0.97,0.86
1500,0.86,0.97,0.86
1800,0.86,0.97,0.86
2100,0.85,0.97,0.86
2400,0.86,0.97,0.86
2700,0.84,0.97,0.86
3000,0.86,0.97,0.86
