alexa,ctw,hp,wf
1,0.860,0.861,0.859
10,0.861,0.862,0.860
100,0.861,0.863,0.860
1000,0.875,0.885,0.860
10000,0.941,0.974,0.859
100000,0.988,0.998,0.861
1000000,0.993,1.000,0.861
10000000,1.000,1.000,0.859
100000000,1.000,1.000,0.859
