r,ctw,hp,wf
0,0.918,1.000,0.263
300,0.838,0.970,0.307
600,0.934,0.986,0.414
900,0.869,0.955,0.718
1200,0.894,0.978,0.814
1500,0.904,0.984,0.825
1800,0.932,0.977,0.829
2100,0.932,0.973,0.829
2400,0.947,0.978,0.832
2700,0.904,0.983,0.835
3000,0.925,0.971,0.834
