r,ctw,hp,wf
0,0.835,0.889,0.286
300,0.707,0.816,0.414
600,0.931,0.970,0.461
900,0.924,0.968,0.544
1200,0.914,0.957,0.663
1500,0.910,0.949,0.734
1800,0.973,0.988,0.779
2100,0.960,0.984,0.807
2400,0.946,0.971,0.831
2700,0.945,0.978,0.840
3000,0.966,0.978,0.830
