pct,ctw,hp,wf
0,0.000,0.000,0.545
10,0.070,0.062,0.545
20,0.136,0.120,0.545
30,0.200,0.180,0.545
40,0.258,0.232,0.545
50,0.314,0.285,0.545
60,0.370,0.337,0.545
70,0.418,0.386,0.545
80,0.471,0.434,0.545
90,0.517,0.478,0.545
100,0.562,0.521,0.545
