pct,ctw,hp,wf
0,0.000,0.000,0.859
10,0.761,0.971,0.859
20,0.829,0.972,0.859
30,0.845,0.971,0.859
40,0.866,0.973,0.859
50,0.883,0.970,0.859
60,0.905,0.970,0.859
70,0.907,0.968,0.859
80,0.920,0.968,0.859
90,0.924,0.969,0.859
100,0.931,0.968,0.859
