r,ctw,hp,wf
0,0.722,0.954,0.223
300,0.738,0.936,0.279
600,0.770,0.946,0.403
900,0.761,0.913,0.698
1200,0.884,0.982,0.868
1500,0.866,0.977,0.862
1800,0.860,0.974,0.859
2100,0.871,0.975,0.859
2400,0.878,0.977,0.860
2700,0.867,0.976,0.859
3000,0.875,0.973,0.859
