window,ctw-10k,hp-10k,wf-10k,ctw-100k,hp-100k,wf-100k
60,0.909,0.983,0.830,0.988,0.999,0.830
180,0.806,0.940,0.828,0.964,0.996,0.827
360,0.808,0.935,0.829,0.947,0.992,0.826
540,0.790,0.913,0.828,0.936,0.988,0.832
720,0.778,0.880,0.826,0.905,0.971,0.831
900,0.777,0.874,0.825,0.914,0.981,0.822
1080,0.763,0.848,0.830,0.883,0.973,0.829
1260,0.782,0.864,0.822,0.868,0.976,0.831
1440,0.791,0.851,0.826,0.843,0.956,0.829
1620,0.801,0.856,0.831,0.825,0.951,0.823
1800,0.791,0.839,0.827,0.828,0.968,0.829
