window,ctw-10k,hp-10k,wf-10k,ctw-100k,hp-100k,wf-100k
60,0.962,0.988,0.834,1.000,1.000,0.835
180,0.917,0.966,0.829,0.973,1.000,0.822
360,0.862,0.926,0.826,1.000,1.000,0.836
540,0.825,0.912,0.828,0.981,0.990,0.834
720,0.803,0.886,0.837,0.979,0.997,0.833
900,0.804,0.889,0.828,0.978,0.991,0.824
1080,0.821,0.877,0.826,0.934,0.958,0.835
1260,0.802,0.840,0.826,0.924,0.959,0.830
1440,0.806,0.864,0.829,0.930,0.955,0.831
1620,0.803,0.850,0.830,0.914,0.947,0.832
1800,0.809,0.853,0.824,0.923,0.966,0.819
