offset,k2-ctw,k2-hp,k2-wf,k4-ctw,k4-hp,k4-wf
0,0.717,0.717,0.717,0.559,0.559,0.559
10,0.701,0.701,0.701,0.552,0.552,0.552
100,0.736,0.701,0.710,0.593,0.555,0.561
1000,0.768,0.691,0.714,0.644,0.540,0.558
10000,0.767,0.680,0.709,0.648,0.542,0.565
100000,0.772,0.687,0.712,0.642,0.538,0.557
1000000,0.772,0.693,0.712,0.657,0.544,0.557
