offset,k2-ctw,k2-hp,k2-wf,k4-ctw,k4-hp,k4-wf
0,0.828,0.828,0.828,0.923,0.923,0.923
10,0.830,0.830,0.830,0.930,0.930,0.930
100,0.880,0.893,0.832,0.939,0.946,0.926
1000,0.983,0.983,0.830,0.995,0.994,0.915
10000,1.000,1.000,0.836,1.000,1.000,0.923
100000,1.000,1.000,0.829,1.000,1.000,0.916
1000000,1.000,1.000,0.829,1.000,1.000,0.920
