offset,k2-ctw,k2-hp,k2-wf,k4-ctw,k4-hp,k4-wf
0,0.837,0.837,0.837,0.939,0.939,0.939
10,0.834,0.834,0.834,0.939,0.939,0.939
100,0.836,0.836,0.836,0.940,0.940,0.940
1000,0.853,0.863,0.835,0.948,0.951,0.940
10000,0.959,0.976,0.838,0.987,0.994,0.940
100000,0.995,0.998,0.835,0.999,0.999,0.940
1000000,1.000,1.000,0.833,1.000,1.000,0.940
