r,ctw,hp,wf
0,0.762,0.865,0.221
300,0.578,0.780,0.269
600,0.719,0.857,0.403
900,0.856,0.961,0.732
1200,0.865,0.973,0.863
1500,0.840,0.970,0.862
1800,0.858,0.970,0.862
2100,0.849,0.969,0.860
2400,0.845,0.970,0.859
2700,0.839,0.971,0.860
3000,0.853,0.971,0.859
