r,ctw,hp,wf
0,0.620,0.794,0.221
300,0.711,0.808,0.281
600,0.787,0.940,0.406
900,0.831,0.963,0.691
1200,0.846,0.958,0.860
1500,0.866,0.974,0.862
1800,0.853,0.969,0.861
2100,0.854,0.969,0.858
2400,0.859,0.971,0.859
2700,0.846,0.969,0.861
3000,0.861,0.971,0.861
