window,ctw-10k,hp-10k,wf-10k,ctw-100k,hp-100k,wf-100k
60,0.870,0.977,0.859,0.973,0.998,0.859
180,0.822,0.942,0.859,0.948,0.993,0.860
540,0.809,0.903,0.859,0.898,0.985,0.859
900,0.817,0.882,0.859,0.861,0.969,0.860
1200,0.827,0.877,0.861,0.833,0.964,0.859
1500,0.836,0.871,0.859,0.827,0.958,0.860
1800,0.840,0.867,0.859,0.836,0.954,0.859
