offset,wf,pchp,uchp,prhp,urhp
0,0.859,0.862,0.988,0.930,1.000
10,0.859,0.863,0.988,0.933,1.000
100,0.860,0.866,0.988,0.962,1.000
1000,0.861,0.890,0.988,0.998,1.000
10000,0.859,0.970,0.990,1.000,1.000
100000,0.860,0.997,0.990,1.000,1.000
1000000,0.860,1.000,0.990,1.000,1.000
10000000,0.861,1.000,1.000,1.000,1.000
100000000,0.860,1.000,1.000,1.000,1.000
