alexa,ctw,hp,wf
1,0.546,0.546,0.546
10,0.547,0.546,0.547
100,0.546,0.546,0.546
1000,0.549,0.542,0.546
10000,0.577,0.530,0.547
100000,0.606,0.528,0.547
1000000,0.609,0.528,0.547
10000000,0.610,0.527,0.546
100000000,0.610,0.527,0.546
