scale,ctw-10k,hp-10k,wf-10k,ctw-100k,hp-100k,wf-100k
1,0.895,0.981,0.861,0.976,0.998,0.860
2,0.843,0.968,0.861,0.976,0.997,0.860
3,0.837,0.959,0.859,0.955,0.994,0.859
4,0.817,0.948,0.860,0.949,0.994,0.860
5,0.810,0.935,0.859,0.944,0.992,0.859
6,0.813,0.929,0.859,0.929,0.992,0.859
7,0.805,0.925,0.860,0.926,0.989,0.859
8,0.804,0.915,0.860,0.916,0.982,0.861
9,0.807,0.914,0.861,0.899,0.988,0.860
10,0.808,0.911,0.861,0.888,0.987,0.860
