scale,ctw-10k,hp-10k,wf-10k,ctw-100k,hp-100k,wf-100k
1,0.972,0.993,0.824,1.000,1.000,0.834
2,0.884,0.933,0.830,1.000,1.000,0.819
3,0.918,0.973,0.829,0.984,0.994,0.821
4,0.908,0.955,0.832,1.000,1.000,0.828
5,0.886,0.957,0.841,0.962,0.977,0.826
6,0.866,0.937,0.837,0.961,0.990,0.835
7,0.809,0.881,0.833,0.958,0.974,0.834
8,0.813,0.893,0.839,0.947,0.989,0.821
9,0.827,0.893,0.815,0.990,0.997,0.828
10,0.800,0.876,0.823,0.968,0.991,0.833
