scale,ctw-10k,hp-10k,wf-10k,ctw-100k,hp-100k,wf-100k
1,0.909,0.983,0.830,0.988,0.999,0.830
2,0.848,0.970,0.827,0.961,0.994,0.831
3,0.822,0.938,0.829,0.993,0.992,0.824
4,0.762,0.895,0.827,0.933,0.991,0.826
5,0.797,0.929,0.824,0.977,0.993,0.827
6,0.785,0.918,0.831,0.967,0.988,0.830
7,0.781,0.916,0.830,0.934,0.987,0.831
8,0.768,0.905,0.826,0.903,0.985,0.827
9,0.760,0.879,0.826,0.941,0.990,0.831
10,0.773,0.893,0.825,0.905,0.984,0.830
