timestamp,count
1462377600,177
1462377900,206
1462378200,182
1462378500,168
1462378800,126
1462379100,118
1462379400,207
1462379700,404
1462380000,463
1462380300,78
1462380600,123
1462380900,156
1462381200,168
1462381500,169
1462381800,333
1462382100,311
1462382400,244
1462382700,137
1462383000,122
1462383300,812
1462383600,269
1462383900,142
1462384200,86
1462384500,143
1462384800,102
1462385100,116
1462385400,167
1462385700,96
1462386000,131
1462386300,230
1462386600,311
1462386900,251
1462387200,76
1462387500,142
1462387800,68
1462388100,111
1462388400,255
1462388700,125
1462389000,206
1462389300,95
1462389600,67
1462389900,51
1462390200,73
1462390500,79
1462390800,51
1462391100,110
1462391400,203
1462391700,203
1462392000,103
1462392300,115
1462392600,113
1462392900,89
1462393200,102
1462393500,75
1462393800,88
1462394100,141
1462394400,119
1462394700,65
1462395000,178
1462395300,123
1462395600,88
1462395900,77
1462396200,59
1462396500,97
1462396800,122
1462397100,203
1462397400,152
1462397700,75
1462398000,100
1462398300,98
1462398600,88
1462398900,165
1462399200,109
1462399500,90
1462399800,120
1462400100,316
1462400400,185
1462400700,117
1462401000,93
1462401300,91
1462401600,204
1462401900,222
1462402200,223
1462402500,152
1462402800,185
1462403100,89
1462403400,64
1462403700,104
1462404000,112
1462404300,129
1462404600,84
1462404900,141
1462405200,137
1462405500,67
1462405800,154
1462406100,64
1462406400,49
1462406700,117
1462407000,59
1462407300,84
1462407600,90
1462407900,53
1462408200,52
1462408500,43
1462408800,55
1462409100,27
1462409400,85
1462409700,102
1462410000,72
1462410300,36
1462410600,55
1462410900,49
1462411200,27
1462411500,140
1462411800,108
1462412100,36
1462412400,22
1462412700,34
1462413000,80
1462413300,71
1462413600,76
1462413900,99
1462414200,58
1462414500,135
1462414800,51
1462415100,61
1462415400,101
1462415700,129
1462416000,39
1462416300,149
1462416600,42
1462416900,113
1462417200,151
1462417500,49
1462417800,93
1462418100,132
1462418400,53
1462418700,77
1462419000,45
1462419300,46
1462419600,46
1462419900,56
1462420200,74
1462420500,35
1462420800,56
1462421100,39
1462421400,39
1462421700,49
1462422000,42
1462422300,49
1462422600,79
1462422900,76
1462423200,83
1462423500,53
1462423800,88
1462424100,182
1462424400,86
1462424700,95
1462425000,66
1462425300,60
1462425600,126
1462425900,30
1462426200,55
1462426500,37
1462426800,63
1462427100,82
1462427400,83
1462427700,74
1462428000,622
1462428300,72
1462428600,138
1462428900,142
1462429200,44
1462429500,66
1462429800,52
1462430100,101
1462430400,90
1462430700,80
1462431000,130
1462431300,159
1462431600,71
1462431900,51
1462432200,151
1462432500,195
1462432800,64
1462433100,102
1462433400,71
1462433700,64
1462434000,66
1462434300,123
1462434600,240
1462434900,174
1462435200,84
1462435500,45
1462435800,46
1462436100,61
1462436400,116
1462436700,147
1462437000,136
1462437300,137
1462437600,182
1462437900,161
1462438200,70
1462438500,70
1462438800,115
1462439100,83
1462439400,67
1462439700,82
1462440000,107
1462440300,120
1462440600,81
1462440900,152
1462441200,173
1462441500,158
1462441800,78
1462442100,258
1462442400,152
1462442700,73
1462443000,115
1462443300,132
1462443600,182
1462443900,145
1462444200,169
1462444500,131
1462444800,175
1462445100,347
1462445400,94
1462445700,72
1462446000,120
1462446300,48
1462446600,39
1462446900,42
1462447200,46
1462447500,58
1462447800,104
1462448100,127
1462448400,114
1462448700,63
1462449000,133
1462449300,102
1462449600,59
1462449900,56
1462450200,85
1462450500,90
1462450800,69
1462451100,69
1462451400,95
1462451700,165
1462452000,166
1462452300,128
1462452600,206
1462452900,92
1462453200,107
1462453500,110
1462453800,181
1462454100,182
1462454400,265
1462454700,180
1462455000,121
1462455300,138
1462455600,160
1462455900,108
1462456200,173
1462456500,143
1462456800,254
1462457100,215
1462457400,279
1462457700,126
1462458000,73
1462458300,128
1462458600,126
1462458900,79
1462459200,103
1462459500,181
1462459800,156
1462460100,188
1462460400,97
1462460700,84
1462461000,106
1462461300,151
1462461600,170
1462461900,81
1462462200,68
1462462500,102
1462462800,128
1462463100,95
1462463400,108
1462463700,100
1462464000,90
1462464300,95
1462464600,92
1462464900,122
1462465200,51
1462465500,108
1462465800,399
