timestamp,count
1463270400,74
1463270700,95
1463271000,82
1463271300,60
1463271600,42
1463271900,64
1463272200,60
1463272500,38
1463272800,59
1463273100,57
1463273400,64
1463273700,56
1463274000,91
1463274300,75
1463274600,61
1463274900,54
1463275200,49
1463275500,59
1463275800,82
1463276100,77
1463276400,63
1463276700,30
1463277000,54
1463277300,34
1463277600,125
1463277900,99
1463278200,134
1463278500,85
1463278800,68
1463279100,39
1463279400,53
1463279700,44
1463280000,107
1463280300,39
1463280600,61
1463280900,39
1463281200,99
1463281500,162
1463281800,55
1463282100,92
1463282400,51
1463282700,55
1463283000,42
1463283300,67
1463283600,51
1463283900,53
1463284200,98
1463284500,59
1463284800,67
1463285100,65
1463285400,39
1463285700,40
1463286000,39
1463286300,94
1463286600,85
1463286900,49
1463287200,42
1463287500,27
1463287800,66
1463288100,79
1463288400,74
1463288700,37
1463289000,66
1463289300,49
1463289600,172
1463289900,52
1463290200,66
1463290500,117
1463290800,102
1463291100,90
1463291400,86
1463291700,61
1463292000,52
1463292300,25
1463292600,60
1463292900,43
1463293200,62
1463293500,43
1463293800,43
1463294100,45
1463294400,44
1463294700,71
1463295000,167
1463295300,42
1463295600,43
1463295900,87
1463296200,47
1463296500,60
1463296800,87
1463297100,51
1463297400,77
1463297700,41
1463298000,75
1463298300,94
1463298600,161
1463298900,52
1463299200,59
1463299500,47
1463299800,45
1463300100,112
1463300400,68
1463300700,87
1463301000,72
1463301300,86
1463301600,102
1463301900,112
1463302200,54
1463302500,28
1463302800,50
1463303100,132
1463303400,91
1463303700,73
1463304000,72
1463304300,97
1463304600,32
1463304900,56
1463305200,52
1463305500,36
1463305800,82
1463306100,21
1463306400,126
1463306700,132
1463307000,94
1463307300,72
1463307600,61
1463307900,60
1463308200,197
1463308500,94
1463308800,48
1463309100,53
1463309400,94
1463309700,47
1463310000,118
1463310300,204
1463310600,50
1463310900,160
1463311200,145
1463311500,149
1463311800,147
1463312100,94
1463312400,131
1463312700,118
1463313000,83
1463313300,143
1463313600,106
1463313900,140
1463314200,127
1463314500,38
1463314800,29
1463315100,32
1463315400,21
1463315700,142
1463316000,102
1463316300,77
1463316600,62
1463316900,144
1463317200,121
1463317500,101
1463317800,156
1463318100,134
1463318400,152
1463318700,74
1463319000,64
1463319300,73
1463319600,141
1463319900,112
1463320200,139
1463320500,45
1463320800,112
1463321100,125
1463321400,56
1463321700,89
1463322000,78
1463322300,61
1463322600,57
1463322900,75
1463323200,107
1463323500,78
1463323800,66
1463324100,29
1463324400,38
1463324700,81
1463325000,184
1463325300,259
1463325600,185
1463325900,167
1463326200,118
1463326500,111
1463326800,60
1463327100,150
1463327400,104
1463327700,337
1463328000,114
1463328300,43
1463328600,46
1463328900,155
1463329200,80
1463329500,81
1463329800,59
1463330100,114
1463330400,61
1463330700,111
1463331000,166
1463331300,95
1463331600,64
