r,ctw,hp,wf
0,0.663,0.848,0.223
300,0.731,0.921,0.272
600,0.802,0.920,0.413
900,0.818,0.917,0.705
1200,0.863,0.968,0.862
1500,0.874,0.974,0.863
1800,0.865,0.968,0.859
2100,0.857,0.969,0.860
2400,0.850,0.965,0.860
2700,0.849,0.968,0.859
3000,0.856,0.970,0.860
