pct,ctw,hp,wf
0,0.000,0.000,0.860
5,0.783,0.978,0.860
10,0.822,0.983,0.860
15,0.836,0.982,0.860
20,0.855,0.982,0.860
25,0.871,0.984,0.860
30,0.883,0.984,0.860
35,0.891,0.984,0.860
40,0.901,0.982,0.860
45,0.903,0.982,0.860
50,0.911,0.981,0.860
55,0.917,0.983,0.860
60,0.921,0.982,0.860
65,0.929,0.983,0.860
70,0.933,0.982,0.860
75,0.937,0.982,0.860
80,0.939,0.981,0.860
85,0.944,0.982,0.860
90,0.947,0.981,0.860
95,0.950,0.982,0.860
100,0.954,0.982,0.860
