pct,ctw,hp,wf
0,0.000,0.000,0.546
5,0.034,0.029,0.546
10,0.068,0.059,0.546
15,0.098,0.086,0.546
20,0.129,0.113,0.546
25,0.164,0.144,0.546
30,0.194,0.172,0.546
35,0.225,0.200,0.546
40,0.254,0.226,0.546
45,0.284,0.252,0.546
50,0.312,0.279,0.546
55,0.340,0.304,0.546
60,0.371,0.334,0.546
65,0.400,0.361,0.546
70,0.424,0.382,0.546
75,0.453,0.408,0.546
80,0.477,0.433,0.546
85,0.505,0.458,0.546
90,0.531,0.482,0.546
95,0.557,0.507,0.546
100,0.581,0.530,0.546
