pct,ctw,hp,wf
0,0.000,0.000,0.628
10,0.082,0.072,0.628
20,0.152,0.132,0.628
30,0.231,0.203,0.628
40,0.301,0.263,0.628
50,0.372,0.326,0.628
60,0.435,0.381,0.628
70,0.502,0.440,0.628
80,0.566,0.498,0.628
90,0.630,0.553,0.628
100,0.689,0.607,0.628
