exposure
0.400
0.625
0.500
0.556
0.727
0.667
0.429
0.250
0.556
0.667
0.500
0.571
0.375
0.571
0.250
0.750
0.500
0.200
0.556
0.714
0.600
0.571
0.625
0.500
0.600
0.400
0.500
0.333
0.571
0.625
0.625
0.600
0.400
0.571
0.375
0.250
0.625
0.500
0.714
0.500
0.571
0.667
0.000
0.500
0.375
0.000
0.444
0.400
0.556
0.500
0.600
0.571
0.400
0.500
0.667
0.500
0.500
0.375
0.500
0.286
0.571
0.500
0.571
0.571
0.500
0.500
0.400
0.500
0.727
0.500
0.500
0.500
0.000
0.625
0.556
0.750
0.556
0.500
0.400
0.400
0.429
0.429
0.400
0.286
0.500
0.556
0.429
0.333
0.500
0.333
0.625
0.429
0.444
0.556
0.500
0.375
0.500
0.556
0.333
0.600
0.400
0.333
0.667
0.556
0.250
0.750
0.429
0.571
0.700
0.600
0.429
0.500
0.500
0.571
0.286
0.500
0.250
0.500
0.375
0.333
0.556
0.444
0.500
0.250
0.571
0.667
0.375
0.500
0.556
0.667
0.000
0.778
0.333
0.625
0.429
0.500
0.500
0.667
0.625
0.500
0.400
0.500
0.571
0.600
0.714
0.500
0.571
0.625
0.250
0.600
0.667
0.429
0.400
0.500
0.500
0.625
0.250
0.556
0.571
0.500
0.167
0.545
0.333
0.500
0.444
0.500
0.167
0.600
0.667
0.500
0.500
0.500
0.800
0.571
0.500
0.571
0.667
0.500
0.571
0.667
0.625
0.714
0.200
0.571
0.333
0.333
0.400
0.429
0.444
0.400
0.571
0.500
0.500
0.667
0.000
0.500
0.571
0.667
0.400
0.667
0.714
0.500
0.400
0.833
0.556
0.500
0.250
0.400
0.200
0.571
0.200
0.600
0.250
0.600
0.556
0.333
0.571
0.500
0.700
0.500
0.500
0.333
0.333
0.375
0.333
0.429
0.500
0.600
0.500
0.625
0.625
0.714
0.200
0.625
0.667
0.600
0.500
0.250
0.400
0.625
0.400
0.500
0.625
0.600
0.375
0.375
0.500
0.429
0.167
0.571
0.400
0.400
0.556
0.714
0.600
0.400
0.286
0.625
0.500
0.500
0.400
0.500
0.571
0.500
0.429
0.583
0.600
0.250
0.500
0.556
0.500
0.500
0.200
0.500
0.500
0.333
0.500
0.250
0.714
0.500
0.500
0.556
0.444
0.600
0.375
0.444
0.429
0.400
0.875
0.500
0.500
0.600
0.250
0.625
0.167
0.200
0.700
0.667
0.500
0.625
0.429
0.400
0.429
0.500
0.500
0.375
0.429
0.333
0.400
0.429
0.250
0.400
0.625
0.571
0.750
0.556
0.286
0.500
0.500
0.571
0.714
0.333
0.333
0.500
0.000
0.636
0.556
0.556
0.400
0.400
0.400
0.429
0.667
0.600
0.500
0.400
0.333
0.429
0.429
0.286
0.500
0.500
0.375
0.500
0.400
0.333
0.200
0.500
0.667
0.167
0.429
0.500
0.200
0.375
0.250
0.333
0.200
0.375
0.333
0.500
0.500
0.400
0.571
0.250
0.600
0.250
0.750
0.556
0.444
0.167
0.600
0.500
0.500
0.600
0.571
0.333
0.375
0.500
0.429
0.000
0.429
0.600
0.625
0.571
0.571
0.500
0.750
0.500
0.000
0.500
0.286
0.600
0.400
0.667
0.250
0.667
0.444
0.400
0.375
0.714
0.500
0.429
0.714
0.556
0.429
0.500
0.500
0.167
0.600
0.333
0.667
0.333
0.667
0.429
0.286
0.556
0.500
0.333
0.333
0.400
0.750
0.500
0.375
0.571
0.333
0.500
0.714
0.571
0.444
0.500
0.429
0.500
0.444
0.667
0.400
0.429
0.429
0.375
0.500
0.250
0.750
0.333
0.667
0.636
0.625
0.500
0.400
0.875
0.500
0.200
0.556
0.571
0.400
0.250
0.625
0.556
0.571
0.600
0.200
0.429
0.000
0.444
0.500
0.571
0.571
0.400
0.500
0.571
0.333
0.400
0.333
0.700
0.667
0.444
0.444
0.667
0.429
0.400
0.625
0.556
0.400
0.286
0.400
0.500
0.667
0.500
0.429
0.571
0.571
0.500
0.667
0.500
0.500
0.545
0.333
0.375
0.167
0.750
0.500
0.250
0.200
0.500
0.667
0.667
0.600
0.571
0.625
0.500
0.500
0.500
0.571
0.400
0.333
0.286
0.500
0.500
0.600
0.571
0.429
0.000
0.500
0.500
0.500
0.250
0.000
0.500
0.600
0.500
0.000
0.250
0.000
0.500
0.500
0.400
0.200
0.333
0.333
0.400
0.625
0.700
0.800
0.200
0.545
0.500
0.667
0.571
0.714
0.600
0.600
0.667
0.400
0.286
0.167
0.571
0.444
0.400
0.600
0.444
0.600
0.500
0.571
0.250
0.625
0.000
0.571
0.600
0.500
0.667
0.625
0.500
0.571
0.500
0.500
0.500
0.429
0.333
0.000
0.200
0.375
0.750
0.500
0.375
0.429
0.500
0.500
0.429
0.667
0.500
0.000
0.667
0.286
0.571
0.375
0.167
0.600
0.667
0.429
0.571
0.333
0.600
0.556
0.000
0.600
0.500
0.500
0.727
0.625
0.333
0.700
0.556
0.556
0.625
0.571
0.571
0.429
0.000
0.250
0.625
0.400
0.750
0.625
0.545
0.667
0.429
0.444
0.200
0.500
0.000
0.556
0.286
0.500
0.571
0.250
0.200
0.667
0.500
0.429
0.500
0.167
0.444
0.500
0.400
0.714
0.400
0.625
0.500
0.500
0.333
0.000
0.400
0.250
0.375
0.400
0.167
0.375
0.273
0.500
0.429
0.600
0.444
0.750
0.667
0.556
0.500
0.444
0.571
0.500
0.429
0.333
0.333
0.444
0.333
0.500
0.333
0.500
0.286
0.667
0.375
0.500
0.444
0.167
0.400
0.500
0.200
0.333
0.375
0.333
0.250
0.556
0.000
0.667
0.375
0.250
0.333
0.250
0.400
0.250
0.333
0.286
0.571
0.429
0.200
0.667
0.167
0.429
0.429
0.400
0.500
0.500
0.333
0.000
0.600
0.375
0.333
0.500
0.571
0.600
0.167
0.400
0.000
0.429
0.200
0.375
0.429
0.667
0.250
0.200
0.333
0.333
0.500
0.571
0.333
0.500
0.250
0.333
0.667
0.400
0.333
0.429
0.250
0.400
0.250
0.286
0.200
0.500
0.667
0.500
0.625
0.429
0.000
0.400
0.429
0.250
0.500
0.571
0.429
0.429
0.375
0.500
0.250
0.625
0.125
0.286
0.556
0.333
0.444
0.400
0.625
0.500
0.250
0.500
0.500
0.714
0.500
0.625
0.600
0.333
0.500
0.333
0.400
0.556
0.571
0.333
0.667
0.833
0.500
0.000
0.429
0.556
0.167
0.333
0.500
0.667
0.500
0.714
0.500
0.667
0.667
0.429
0.333
0.375
0.625
0.333
0.556
0.429
0.200
0.700
0.500
0.429
0.500
0.500
0.500
0.333
0.400
0.400
0.333
0.500
0.429
0.500
0.429
0.500
0.500
0.429
0.250
0.200
0.000
0.571
0.500
0.429
0.375
0.444
0.444
0.333
0.400
0.583
0.444
0.600
0.400
0.333
0.333
0.545
0.333
0.444
0.500
0.286
0.286
0.556
0.333
0.375
0.500
0.556
0.333
0.429
0.500
0.500
0.667
0.667
0.667
0.500
0.500
0.600
0.250
0.429
0.286
0.556
0.500
0.500
0.500
0.444
0.500
0.400
0.556
0.286
0.375
0.500
0.571
0.000
0.333
0.500
0.200
0.500
0.000
0.333
0.500
0.200
0.625
0.500
0.500
0.167
0.556
0.333
0.375
0.500
0.286
0.333
0.571
0.200
0.400
0.000
0.667
0.600
0.500
0.625
0.375
0.600
0.333
0.429
0.200
0.429
0.500
