offset,ctw,hp,wf
0,0.545,0.543,0.544
10,0.544,0.542,0.543
100,0.544,0.542,0.544
1000,0.547,0.535,0.542
10000,0.570,0.524,0.542
100000,0.570,0.524,0.542
1000000,0.589,0.522,0.541
10000000,0.595,0.525,0.543
100000000,0.591,0.522,0.541
