offset,wf,hp,hr,merge,ctw-open
0,0.769,0.769,0.817,0.817,0.769
10,0.839,0.839,0.889,0.889,0.839
100,0.705,0.705,0.803,0.803,0.705
1000,0.812,0.812,0.863,0.863,0.812
10000,0.911,0.911,0.931,.931,0.914
100000,0.745,0.697,0.783,0.735,0.697
