offset,wf,hp,hr,merge,ctw-open
0,0.769,0.769,0.817,0.817,0.769
10,0.839,0.839,0.889,0.889,0.839
100,0.705,0.705,0.803,0.803,0.705
1000,0.812,0.799,0.863,0.850,0.799
10000,0.911,0.812,0.929,0.830,0.815
100000,0.745,0.475,0.765,0.495,0.475
