pct,ctw,hp,wf
0,0.000,0.000,0.858
10,0.762,0.978,0.861
20,0.835,0.979,0.858
30,0.874,0.975,0.861
40,0.876,0.974,0.858
50,0.894,0.976,0.861
60,0.906,0.975,0.858
70,0.907,0.971,0.861
80,0.931,0.975,0.858
90,0.935,0.972,0.861
100,0.945,0.974,0.858
