offset,wf,pc-hp,uc-hp,pr-hp,ur-hp
0,0.870,0.866,1.000,0.872,1.000
10,0.877,0.864,1.000,0.868,1.000
100,0.869,0.868,0.995,0.891,1.000
1000,0.867,0.913,0.974,1.000,1.000
10000,0.861,0.981,1.000,1.000,1.000
100000,0.864,1.000,1.000,1.000,1.000
1000000,0.861,1.000,1.000,1.000,1.000
10000000,0.869,1.000,1.000,1.000,1.000
100000000,0.871,1.000,1.000,1.000,1.000
